quote,author
"My Dearest <NAME>, I love you as certain dark things are loved, secretly, between the shadow and the soul.","Pablo Neruda,"
"Dearest <NAME>, It is an absolute human certainty that no one can know his own beauty or perceive a sense of his own worth until it has been reflected back to him in the mirror of another loving, caring human being.","John Joseph Powell,"
"My Beloved <NAME>, If I have learned anything in this long life of mine, it is this: in love we find out who we want to be; in war we find out who we are.","Kristin Hannah,"
"My Love, <NAME>, I choose to love you in silence…",Rumi
"To the One I Cherish, <NAME>, your hand",Sanober Khan
"Dearest <NAME>, <NAME> memory feels like home to me.",Ranata Suzuki
"My Love, <NAME>, …the sad part is, that I will probably end up loving you without you for much longer than I loved you when I knew you.",Ranata Suzuki
"My Dearest <NAME>, the saddest thing is to be",Sanober Khan
"Dearest <NAME>, <NAME> fell in love with a storm. <NAME> you really think you would get out unscathed?",Nikita Gill
"My Dearest <NAME>, <NAME> is an ocean of silence between us… and I am drowning in it.",Ranata Suzuki
"To the One I Cherish, <NAME>, <NAME> heart made it's choice, and it chose you.","Colleen Hoover,"
"My Dearest <NAME>, I wish I knew how to quit you.","Annie Proulx,"
"Dearest <NAME>, I meant it when I said I didn’t believe in love at first sight. It takes time to really, truly fall for someone. <NAME> I believe in a moment. A moment when you glimpse the truth within someone, and they glimpse the truth within you. <NAME> that moment, you don’t belong to yourself any longer, not completely. <NAME> of you belongs to him; part of him belongs to you. After that, you can’t take it back, no matter how much you want to, no matter how hard you try.","Claudia Gray,"
"Dearest <NAME>, <NAME> you ever been in love? <NAME> isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up. <NAME> build up all these defenses. <NAME> build up this whole armor, for years, so nothing can hurt you, then one stupid person, no different from any other stupid person, wanders into your stupid life… <NAME> give them a piece of you. <NAME> don't ask for it. <NAME> do something dumb one day like kiss you, or smile at you, and then your life isn't your own anymore. <NAME> takes hostages. It gets inside you. It eats you out and leaves you crying in the darkness, so a simple phrase like ""maybe we should just be friends"" or ""how very perceptive"" turns into a glass splinter working its way into your heart. It hurts. <NAME> just in the imagination. <NAME> just in the mind. It's a soul-hurt, a body-hurt, a real gets-inside-you-and-rips-you-apart pain. <NAME> should be able to do that. Especially not love. I hate love.","Neil Gaiman,"
"My Dearest <NAME>, <NAME> are damaged and broken and unhinged. But so are shooting stars and comets.",Nikita Gill
"My Love, <NAME>, <NAME> up, <NAME> al-<NAME> <NAME> kneel before no one. <NAME> of all me.","Renee Ahdieh,"
"To the One I Cherish, <NAME>, <NAME> what it feels like when you touch me. <NAME> millions of tiny universes being born and then dying in the space between your finger and my skin. <NAME> I forget.","Iain Thomas,"
"My Dearest <NAME>, a flower knows, when its butterfly will return,",Sanober Khan
"My Love, <NAME>, I love my parents' murderer; I suppose I could love anyone.","Holly Black,"
"My Love, <NAME>, i want to be",Sanober Khan
"My Dearest <NAME>, If you cannot hold me in your arms, then hold my memory in high regard.",Ranata Suzuki
"My Love, <NAME>, If you’re searching for a quote that puts your feelings into words – you won’t find it.",Ranata Suzuki
"Dearest <NAME>, When you experience loss, people say you’ll move through the 5 stages of grief….",Ranata Suzuki
"My Beloved <NAME>, I think perhaps I will always hold a candle for you – even until it burns my hand.",Ranata Suzuki
"Dearest <NAME>, <NAME> is more tragic than loving someone to the depths of your soul and knowing they cannot and will not ever love you back.","Rick Riordan,"
"Dearest <NAME>, To fall in love with someone's thoughts - the most intimate, splendid romance.",Sanober Khan
"Dearest <NAME>, It’s painful, loving someone from afar.",Ranata Suzuki
"Dearest <NAME>, I had someone once who made every day mean something.",Ranata Suzuki
"My Love, <NAME>, <NAME> an old soul with young eyes, a vintage heart, and a beautiful mind.",Nicole  Lyons
"My Beloved <NAME>, <NAME> only did",Christopher Poindexter
"My Love, <NAME>, I miss that feeling of connection.",Ranata Suzuki
"My Dearest <NAME>, <NAME> me every terrible thing you ever did, and let me love you anyway.","Sade Andria Zabala,"
"My Love, <NAME>, <NAME> this story",Arzum Uzun
"Dearest <NAME>, For some people, the point of no return begins at the very moment their souls become aware of each others’ existence.",C. JoyBell C.
"Dearest <NAME>, He was both everything I could ever want…",Ranata Suzuki
"To the One I Cherish, <NAME>, <NAME> these words will never find you, I hope that you knew I was thinking of you today….. and that I was wishing you every happiness.",Ranata Suzuki
"My Love, <NAME>, I raised you so high that every other man on earth is now doomed to live in your shadow.",Ranata Suzuki
"My Beloved <NAME>, <NAME> last time I felt alive – I was looking into your eyes.",Ranata Suzuki
"Dearest <NAME>, It’s difficult for me to imagine the rest of my life without you. But I suppose I don’t have to imagine it... I just have to live it",Ranata Suzuki
"My Love, <NAME>, Who am I to deny gravity, <NAME> When you shine brighter than any constellation in the sky?","Jay Kristoff,"
"My Love, <NAME>, I would court you, with all the grace and courtesy that you deserve,","C.S. Pacat,"
"My Beloved <NAME>, He touched my soul long before I knew what his hands felt like.",Nikki Rowe
"My Beloved <NAME>, Why wouldn’t you tell someone you loved them? Once you loved someone, you repeated it until they were tired of hearing it. <NAME> said it until it ceased to have meaning. Why not? Of course, you goddamn did.","Gabrielle Zevin,"
"To the One I Cherish, <NAME>, I long for you; I who usually longs without longing, as though I am unconscious and absorbed in neutrality and apathy, really, utterly long for every bit of you.","Franz Kafka,"
"To the One I Cherish, <NAME>, I'm done. I don't need anything more out of life. I have you, and that's enough.",Alessandra Torre
"Dearest <NAME>, <NAME> freckles make you seem like a galaxy of stars, just waiting to be explored and loved.",Nikita Gill
"My Dearest <NAME>, I had embraced you...","Sanober Khan,"
"My Beloved <NAME>, <NAME> every street I've ever walked. <NAME> the tree outside my window, you're a sparrow as he flies. <NAME> the book that I am reading. <NAME> every poem I've ever loved.","Benjamin Alire Sáenz,"
"My Beloved <NAME>, <NAME> smile and your laughter lit my whole world.",Ranata Suzuki
"My Dearest <NAME>, ...so i will greet you","Sanober Khan,"
"My Dearest <NAME>, <NAME> absence of a message sometimes is a presence of one.",Hasse Jerner
"To the One I Cherish, <NAME>, <NAME> is the most beautiful of dreams and the worst of nightmares.","Aman Jassal,"
"My Dearest <NAME>, how is it that","Sanober Khan,"
"Dearest <NAME>, I think it's hard for you to fall in love because you like control, and you can't control what another person does or feels, so you keep all your cards.","Tarryn Fisher,"
