quote,author
"“I love you as certain dark things are loved, secretly, between the shadow and the soul.”","Pablo Neruda,"
"“It is an absolute human certainty that no one can know his own beauty or perceive a sense of his own worth until it has been reflected back to him in the mirror of another loving, caring human being.”","John Joseph Powell,"
"“If I have learned anything in this long life of mine, it is this: in love we find out who we want to be; in war we find out who we are.”","Kristin Hannah,"
“I choose to love you in silence…,Rumi
“your hand,Sanober Khan
“Your memory feels like home to me.,Ranata Suzuki
"“…the sad part is, that I will probably end up loving you without you for much longer than I loved you when I knew you.",Ranata Suzuki
“the saddest thing is to be,Sanober Khan
“You fell in love with a storm. Did you really think you would get out unscathed?”,Nikita Gill
“There is an ocean of silence between us… and I am drowning in it.”,Ranata Suzuki
"“My heart made it's choice, and it chose you.”","Colleen Hoover,"
“I wish I knew how to quit you.”,"Annie Proulx,"
"“I meant it when I said I didn’t believe in love at first sight. It takes time to really, truly fall for someone. Yet I believe in a moment. A moment when you glimpse the truth within someone, and they glimpse the truth within you. In that moment, you don’t belong to yourself any longer, not completely. Part of you belongs to him; part of him belongs to you. After that, you can’t take it back, no matter how much you want to, no matter how hard you try.”","Claudia Gray,"
"“Have you ever been in love? Horrible, isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up. You build up all these defenses. You build up this whole armor, for years, so nothing can hurt you, then one stupid person, no different from any other stupid person, wanders into your stupid life… You give them a piece of you. They don't ask for it. They do something dumb one day like kiss you, or smile at you, and then your life isn't your own anymore. Love takes hostages. It gets inside you. It eats you out and leaves you crying in the darkness, so a simple phrase like ""maybe we should just be friends"" or ""how very perceptive"" turns into a glass splinter working its way into your heart. It hurts. Not just in the imagination. Not just in the mind. It's a soul-hurt, a body-hurt, a real gets-inside-you-and-rips-you-apart pain. Nothing should be able to do that. Especially not love. I hate love.”","Neil Gaiman,"
“You are damaged and broken and unhinged. But so are shooting stars and comets.”,Nikita Gill
"“Get up, Shahrzad al-Khayzuran. You kneel before no one. Least of all me.”","Renee Ahdieh,"
“That’s what it feels like when you touch me. Like millions of tiny universes being born and then dying in the space between your finger and my skin. Sometimes I forget.”,"Iain Thomas,"
